Year,Sex,NACE Rev 2 Sector,Median Annual Earnings (€),Annual Change (%)
2017,Male,Accommodation and food service activities (I),21719.0,3.8
2017,Male,Information and communication (J),59656.0,3.1
2017,Male,"Financial, insurance and real estate activities (K,L)",53588.0,2.1
2017,Male,"Professional, scientific and technical activities (M)",45784.0,2.3
2017,Male,Administrative and support service activities (N),29818.0,3.8
2017,Male,Public administration and defence; compulsory social security (O),48793.0,1.7
2017,Male,Education (P),53081.0,2.3
2017,Male,Human health and social work activities (Q),36653.0,1.5
2017,Male,"Arts, entertainment, recreation and other service activities (R,S)",26018.0,1.8
2017,Male,All NACE economic sectors,37960.0,1.7
2017,Female,Industry (B to E),34166.0,1.9
2017,Female,Construction (F),23500.0,3.3
2017,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),20943.0,1.4
2017,Female,Transportation and storage (H),30723.0,1.1
2017,Female,Accommodation and food service activities (I),17447.0,2.5
2017,Female,Information and communication (J),45014.0,4.2
2017,Female,"Financial, insurance and real estate activities (K,L)",38958.0,2.5
2017,Female,"Professional, scientific and technical activities (M)",32776.0,2.4
2017,Female,Administrative and support service activities (N),22814.0,5.7
2017,Female,Public administration and defence; compulsory social security (O),42064.0,2.4
2017,Female,Education (P),44555.0,2.3
2017,Female,Human health and social work activities (Q),33748.0,2.3
2017,Female,"Arts, entertainment, recreation and other service activities (R,S)",18746.0,2.5
2017,Female,All NACE economic sectors,31153.0,2.1
2018,Both sexes,Industry (B to E),40560.0,3.6
2018,Both sexes,Construction (F),35669.0,4.1
2018,Both sexes,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),26328.0,2.7
2018,Both sexes,Transportation and storage (H),37443.0,3.8
2018,Both sexes,Accommodation and food service activities (I),19900.0,3.1
2018,Both sexes,Information and communication (J),56464.0,3.2
2018,Both sexes,"Financial, insurance and real estate activities (K,L)",46036.0,3.8
2018,Both sexes,"Professional, scientific and technical activities (M)",39642.0,3.4
2018,Both sexes,Administrative and support service activities (N),28639.0,4.5
2018,Both sexes,Public administration and defence; compulsory social security (O),46101.0,1.2
2018,Both sexes,Education (P),47584.0,1.2
2018,Both sexes,Human health and social work activities (Q),35235.0,2.5
2018,Both sexes,"Arts, entertainment, recreation and other service activities (R,S)",21842.0,2.9
2018,Both sexes,All NACE economic sectors,35786.0,3.3
2018,Male,Industry (B to E),42606.0,3.3
2018,Male,Construction (F),37222.0,4.7
2018,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),30993.0,2.9
2018,Male,Transportation and storage (H),39391.0,4.0
2018,Male,Accommodation and food service activities (I),22520.0,3.7
2018,Male,Information and communication (J),61802.0,3.6
2018,Male,"Financial, insurance and real estate activities (K,L)",55888.0,4.3
2018,Male,"Professional, scientific and technical activities (M)",46666.0,1.9
2018,Male,Administrative and support service activities (N),31011.0,4.0
2018,Male,Public administration and defence; compulsory social security (O),49163.0,0.8
2018,Male,Education (P),53946.0,1.6
2018,Male,Human health and social work activities (Q),37809.0,3.2
2018,Male,"Arts, entertainment, recreation and other service activities (R,S)",26568.0,2.1
2018,Male,All NACE economic sectors,39279.0,3.5
2018,Female,Industry (B to E),35633.0,4.3
2018,Female,Construction (F),24170.0,2.9
2018,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),21460.0,2.5
2018,Female,Transportation and storage (H),31923.0,3.9
2018,Female,Accommodation and food service activities (I),17890.0,2.5
2018,Female,Information and communication (J),46666.0,3.7
2018,Female,"Financial, insurance and real estate activities (K,L)",40118.0,3.0
2018,Female,"Professional, scientific and technical activities (M)",33805.0,3.1
2018,Female,Administrative and support service activities (N),23824.0,4.4
2018,Female,Public administration and defence; compulsory social security (O),42460.0,0.9
2018,Female,Education (P),44614.0,0.1
2018,Female,Human health and social work activities (Q),34546.0,2.4
2018,Female,"Arts, entertainment, recreation and other service activities (R,S)",19367.0,3.3
2018,Female,All NACE economic sectors,32014.0,2.8
2019,Both sexes,Industry (B to E),41654.0,2.7
2019,Both sexes,Construction (F),37502.0,5.1
2019,Both sexes,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),27442.0,4.2
2019,Both sexes,Transportation and storage (H),38693.0,3.3
2019,Both sexes,Accommodation and food service activities (I),20576.0,3.4
2019,Both sexes,Information and communication (J),58000.0,2.7
2019,Both sexes,"Financial, insurance and real estate activities (K,L)",47776.0,3.8
2019,Both sexes,"Professional, scientific and technical activities (M)",41667.0,5.1
2019,Both sexes,Administrative and support service activities (N),30418.0,6.2
2019,Both sexes,Public administration and defence; compulsory social security (O),47232.0,2.5
2019,Both sexes,Education (P),47754.0,0.4
2019,Both sexes,Human health and social work activities (Q),36106.0,2.5
2019,Both sexes,"Arts, entertainment, recreation and other service activities (R,S)",22800.0,4.4
2019,Both sexes,All NACE economic sectors,37001.0,3.4
2019,Male,Industry (B to E),43695.0,2.6
2019,Male,Construction (F),39105.0,5.1
2019,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),32231.0,4.0
2019,Male,Transportation and storage (H),40348.0,2.4
2019,Male,Accommodation and food service activities (I),23393.0,3.9
2019,Male,Information and communication (J),63488.0,2.7
2019,Male,"Financial, insurance and real estate activities (K,L)",57941.0,3.7
2019,Male,"Professional, scientific and technical activities (M)",48963.0,4.9
2019,Male,Administrative and support service activities (N),32916.0,6.1
2019,Male,Public administration and defence; compulsory social security (O),50263.0,2.2
2019,Male,Education (P),54928.0,1.8
2019,Male,Human health and social work activities (Q),38576.0,2.0
2019,Male,"Arts, entertainment, recreation and other service activities (R,S)",27725.0,4.4
2019,Male,All NACE economic sectors,40517.0,3.2
2019,Female,Industry (B to E),36542.0,2.6
2019,Female,Construction (F),25341.0,4.8
2019,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),22381.0,4.3
2019,Female,Transportation and storage (H),33721.0,5.6
2019,Female,Accommodation and food service activities (I),18318.0,2.4
2019,Female,Information and communication (J),48041.0,2.9
2019,Female,"Financial, insurance and real estate activities (K,L)",41446.0,3.3
2019,Female,"Professional, scientific and technical activities (M)",35500.0,5.0
2019,Female,Administrative and support service activities (N),25772.0,8.2
2019,Female,Public administration and defence; compulsory social security (O),43516.0,2.5
2019,Female,Education (P),44867.0,0.6
2019,Female,Human health and social work activities (Q),35461.0,2.6
2019,Female,"Arts, entertainment, recreation and other service activities (R,S)",20085.0,3.7
2019,Female,All NACE economic sectors,33056.0,3.3
2020,Both sexes,Industry (B to E),44584.0,7.0
2020,Both sexes,Construction (F),40601.0,8.3
2020,Both sexes,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),29539.0,7.6
2020,Both sexes,Transportation and storage (H),39548.0,2.2
2020,Both sexes,Accommodation and food service activities (I),24298.0,18.1
2020,Both sexes,Information and communication (J),61632.0,6.3
2020,Both sexes,"Financial, insurance and real estate activities (K,L)",50305.0,5.3
2020,Both sexes,"Professional, scientific and technical activities (M)",43311.0,3.9
2020,Both sexes,Administrative and support service activities (N),31594.0,3.9
2020,Both sexes,Public administration and defence; compulsory social security (O),48212.0,2.1
2020,Both sexes,Education (P),48664.0,1.9
2020,Both sexes,Human health and social work activities (Q),38213.0,5.8
2020,Both sexes,"Arts, entertainment, recreation and other service activities (R,S)",28493.0,25.0
2020,Both sexes,All NACE economic sectors,40579.0,9.7
2020,Male,Industry (B to E),46437.0,6.3
2020,Male,Construction (F),42353.0,8.3
2020,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33632.0,4.3
2020,Male,Transportation and storage (H),41597.0,3.1
2020,Male,Accommodation and food service activities (I),26252.0,12.2
2020,Male,Information and communication (J),66436.0,4.6
2020,Male,"Financial, insurance and real estate activities (K,L)",59941.0,3.5
2020,Male,"Professional, scientific and technical activities (M)",50000.0,2.1
2020,Male,Administrative and support service activities (N),33621.0,2.1
2020,Male,Public administration and defence; compulsory social security (O),51166.0,1.8
2020,Male,Education (P),56278.0,2.5
2020,Male,Human health and social work activities (Q),39885.0,3.4
2020,Male,"Arts, entertainment, recreation and other service activities (R,S)",30808.0,11.1
2020,Male,All NACE economic sectors,44105.0,8.9
2020,Female,Industry (B to E),40199.0,10.0
2020,Female,Construction (F),29583.0,16.7
2020,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),24702.0,10.4
2020,Female,Transportation and storage (H),32045.0,-5.0
2020,Female,Accommodation and food service activities (I),22228.0,21.3
2020,Female,Information and communication (J),52725.0,9.8
2020,Female,"Financial, insurance and real estate activities (K,L)",43833.0,5.8
2020,Female,"Professional, scientific and technical activities (M)",37547.0,5.8
2020,Female,Administrative and support service activities (N),28092.0,9.0
2020,Female,Public administration and defence; compulsory social security (O),44503.0,2.3
2020,Female,Education (P),45963.0,2.4
2020,Female,Human health and social work activities (Q),37730.0,6.4
2020,Female,"Arts, entertainment, recreation and other service activities (R,S)",26444.0,31.7
2020,Female,All NACE economic sectors,37462.0,13.3
2021,Both sexes,Industry (B to E),45804.0,2.7
2021,Both sexes,Construction (F),41760.0,2.9
2021,Both sexes,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),30476.0,3.2
2021,Both sexes,Transportation and storage (H),39972.0,1.1
2021,Both sexes,Accommodation and food service activities (I),23795.0,-2.1
2021,Both sexes,Information and communication (J),66082.0,7.2
2021,Both sexes,"Financial, insurance and real estate activities (K,L)",52350.0,4.1
2021,Both sexes,"Professional, scientific and technical activities (M)",45394.0,4.8
2021,Both sexes,Administrative and support service activities (N),32618.0,3.2
2021,Both sexes,Public administration and defence; compulsory social security (O),49507.0,2.7
2021,Both sexes,Education (P),48791.0,0.3
2021,Both sexes,Human health and social work activities (Q),38517.0,0.8
2021,Both sexes,"Arts, entertainment, recreation and other service activities (R,S)",28568.0,0.3
2021,Both sexes,All NACE economic sectors,41222.0,1.6
2021,Male,Industry (B to E),47646.0,2.6
2021,Male,Construction (F),43600.0,2.9
2021,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),34804.0,3.5
2021,Male,Transportation and storage (H),41666.0,0.2
2021,Male,Accommodation and food service activities (I),26224.0,-0.1
2021,Male,Information and communication (J),71271.0,7.3
2021,Male,"Financial, insurance and real estate activities (K,L)",63000.0,5.1
2021,Male,"Professional, scientific and technical activities (M)",52805.0,5.6
2021,Male,Administrative and support service activities (N),34845.0,3.6
